words,replacement
qsuff,","
qty,total
quantity,total
quarter,NA
quater,quarter
qv,NA
qwk,weekly
ra,ear
re,eye
really,","
recquired,req
rectal,pre
rectum,pre
reduce,NA
reduced,reduce
reduceto,reduce
reducing,reduce
renal,test
repeat,NA
repeated,repeat
replace,dispense
req,NA
reqd,req
required,req
restart,","
right,NA
rn,nostril
rt,NA
sachet,NA
sachets,sachet
same,same
sat,saturday
saturday,saturday
saturdays,saturday
script,dispense
seven,7
seventy,70
shown,","
single,NA
sitting,","
six,6
sixty,60
sl,","
sls,NA
spoon,NA
spoonful,spoon
spoonfuls,spoon
spoonsful,spoon
spray,NA
sprays,spray
ss,NA
st,NA
stand,","
standing,","
star,NA
start,NA
starting,NA
stat,NA
statim,stat
stomach,","
stop,NA
sun,sunday
sunday,NA
sundays,sunday
supper,evening
supply,dispense
suppos,NA
suppository,suppos
tab,NA
tabl,tab
tablet,tab
tablets,tab
tabs,tab
take,take
taken,NA
tds,NA
tea,evening
teaspoon,spoon
teaspoonful,spoon
teaspoons,spoon
teaspoonsful,spoon
teatime,evening
ten,10
test,test
tested,test
tests,test
than,NA
the,NA
then,NA
thirty,30
three,3
thrice,NA
thu,thursday
thur,thursday
thursday,thursday
thursdays,thursday
thyroid,test
tid,NA
time,NA
times,NA
to,NA
total,NA
tri,tri
tu,NA
tue,tuesday
tues,tuesday
tuesday,tuesday
tuesdays,tuesday
twelve,12
twenty,20
twice,NA
twicw,twice
two,2
ug,mcg
unit,NA
units,unit
unless,NA
up,NA
upto,NA
urea,test
use,NA
vagina,pv
vaginal,pv
w,NA
wed,wednesday
wednesday,wednesday
wednesdays,wednesday
week,NA
weekday,weekday
weekdays,weekday
weekly,NA
weekl,weekly
weekley,weekly
weeks,week
weelky,weekly
weely,weekly
wekkly,weekly
wekly,weekly
when,NA
with,NA
without,","
wk,NA
wkly,weekly
wks,weeks
x,NA
year,NA
yearly,NA
your,your
oral,NA
orally,oral
injection,NA
nights,days
