allergensId,subsetId,allergenType
17614005,23295004,Drug Ingredient
17666001,767178007,Drug
17848009,767621000,Drug Class
17874003,21847005,Drug
17908000,304275008,Drug Class
17917000,767108006,Drug Class
17932007,23295004,Drug Ingredient
17942009,23295004,Drug Ingredient
17991003,23295004,Drug Ingredient
18004003,18004003,Drug Class
18143001,23295004,Drug Ingredient
18220004,18220004,Drug Class
18321003,767621000,Drug Class
18462008,767621000,Drug Class
18532004,21847005,Drug
18550006,767621000,Drug Class
18594000,112133008,Drug Class
18616005,767300005,Drug Class
18759009,767403008,Chemical
18852007,23295004,Drug Ingredient
18959002,373253007,Drug Class
19012003,23295004,Drug Ingredient
19041007,35098001,Drug Class
19046002,23295004,Drug Ingredient
19114000,372788003,Drug Class
19126005,767403008,Chemical
19421007,300961004,Drug Class
19427006,767305000,Environmental
19499001,373248002,Drug Class
19510001,373248002,Drug Class
19574000,112133008,Drug Class
19595005,372800002,Drug Class
19775002,21847005,Drug
19918001,32824001,Drug Class
19978007,771384007,Drug Class
20217007,767407009,Drug Ingredient
20229003,372806008,Drug Class
20340009,32824001,Drug Class
20368008,373307003,Drug Ingredient
20379003,763805006,Drug Class
20450009,372722000,Drug Class
20495002,23295004,Drug Ingredient
20507001,20507001,Drug Ingredient
20631001,86922003,Drug Class
20686000,23295004,Drug Ingredient
20771003,23295004,Drug Ingredient
20925001,767178007,Drug
21028006,23295004,Drug Ingredient
21066009,404642006,Drug Class
21235009,123682001,Drug Class
21246007,23295004,Drug Ingredient
21303006,372622007,Drug Class
21317002,767403008,Chemical
21383009,112133008,Drug Class
21518006,372656001,Drug Class
21559000,767513003,Drug Class
21564001,21847005,Drug
21566004,373542000,Drug Ingredient
21614004,769166001,Drug Class
21632004,767464004,Drug Class
21706000,103069003,Drug
21729008,112133008,Drug Class
21847005,21847005,Drug
21880003,90618003,Drug Class
21888005,767305000,Environmental
21961001,21847005,Drug
22005007,373477003,Drug Class
22165008,372665008,Drug Class
22192002,255637000,Drug Class
22250002,23295004,Drug Ingredient
22362000,259296007,Drug
22453003,387033008,Drug Ingredient
22496008,23295004,Drug Ingredient
22606007,65183007,Drug Class
22654004,372679000,Drug Class
22790003,771384007,Drug Class
22792006,372806008,Drug Class
22827004,767621000,Drug Class
22836000,255620007,Food
22941009,304275008,Drug Class
23053002,426722004,Drug Class
23077008,372798009,Drug Class
23095006,86922003,Drug Class
23134009,767407009,Drug Ingredient
23172004,767164006,Drug Class
23176001,764146007,Drug Class
23182003,255620007,Food
23423003,767403008,Chemical
23564005,373477003,Drug Class
23692005,259296007,Drug
23816007,304275008,Drug Class
23862004,23295004,Drug Ingredient
23883005,404642006,Drug Class
23959001,18220004,Drug Class
24022008,373477003,Drug Class
24041006,112133008,Drug Class
24099007,24099007,Drug
24189000,767362004,Drug Class
24202000,372524001,Drug Class
24237002,26351002,Drug Class
24261009,373248002,Drug Class
24411003,767403008,Chemical
24434007,767403008,Chemical
24435008,23295004,Drug Ingredient
24492009,112133008,Drug Class
24515005,255620007,Food
24583009,373227004,Drug Class
24650007,32824001,Drug Class
24751001,404642006,Drug Class
24756006,79522001,Drug Class
24809001,763805006,Drug Class
24908005,767407009,Drug Ingredient
25002001,767621000,Drug Class
25013003,767407009,Drug Ingredient
25128000,767513003,Drug Class
25141001,25141001,Drug Ingredient
25183006,25183006,Drug Ingredient
25217009,25217009,Drug Class
25401000,372798009,Drug Class
25486007,255637000,Drug Class
25525005,25525005,Drug Class
25538002,767407009,Drug Ingredient
25620006,21847005,Drug
25743006,255620007,Food
25796002,771452004,Drug Class
25818006,767407009,Drug Ingredient
25886000,23295004,Drug Ingredient
25911004,26351002,Drug Class
26120001,373253007,Drug Class
26191006,373248002,Drug Class
26240000,21847005,Drug
26351002,26351002,Drug Class
26371006,373307003,Drug Ingredient
26379008,373477003,Drug Class
26437003,26437003,Drug Ingredient
26575001,21847005,Drug
26656004,34239008,Drug Ingredient
26709006,112133008,Drug Class
26766001,39360003,Drug Class
26817007,263894008,Drug Class
26898003,112133008,Drug Class
26967001,767407009,Drug Ingredient
27119002,418920007,Environmental
27122000,767305000,Environmental
27184001,304275008,Drug Class
27244000,767300005,Drug Class
27390006,767407009,Drug Ingredient
27594003,767270007,Drug Class
27766008,767621000,Drug Class
27928002,372664007,Drug Class
27931001,387033008,Drug Ingredient
28069006,373477003,Drug Class
28117003,21847005,Drug
28121005,426722004,Drug Class
28230009,255620007,Food
28344001,35098001,Drug Class
28406009,112133008,Drug Class
28580002,372656001,Drug Class
28588009,28588009,Drug Ingredient
28647000,255620007,Food
28662003,769166001,Drug Class
28823005,21847005,Drug
28825003,32824001,Drug Class
28829009,53034005,Drug Ingredient
28942008,28942008,Drug
28983006,26351002,Drug Class
29107003,767362004,Drug Class
29135004,418497006,Drug Class
29157006,767407009,Drug Ingredient
29184007,372679000,Drug Class
29190006,373700004,Drug Class
29246005,112133008,Drug Class
29263009,29263009,Drug Ingredient
29301006,373227004,Drug Class
29527005,372679000,Drug Class
29531004,767305000,Environmental
29588002,372806008,Drug Class
29622009,255637000,Drug Class
29661001,112133008,Drug Class
29666006,373253007,Drug Class
29671004,767300005,Drug Class
29985007,112133008,Drug Class
30053009,32824001,Drug Class
30094001,103069003,Drug
30178006,30178006,Drug
30203009,763805006,Drug Class
30329006,767621000,Drug Class
30424002,373477003,Drug Class
30511000,90618003,Drug Class
30589007,259296007,Drug
30676006,372798009,Drug Class
30848000,23295004,Drug Ingredient
30990007,23295004,Drug Ingredient
31192007,767270007,Drug Class
31212001,767178007,Drug
31527000,767403008,Chemical
31539008,31539008,Drug Ingredient
31579004,21847005,Drug
31662002,31662002,Drug Ingredient
31706007,373288007,Drug Class
31707003,31707003,Drug Ingredient
31731008,259296007,Drug
31815007,372679000,Drug Class
31818009,416394007,Drug Ingredient
31827005,414355008,Drug Class
31936008,767403008,Chemical
31963009,767407009,Drug Ingredient
31990000,23295004,Drug Ingredient
32030002,123682001,Drug Class
32050003,32050003,Drug Ingredient
32120008,111136003,Drug Ingredient
32157002,387033008,Drug Ingredient
32197004,304275008,Drug Class
32281001,23295004,Drug Ingredient
32431007,767362004,Drug Class
32436002,35098001,Drug Class
32445001,767178007,Drug
32707001,416394007,Drug Ingredient
32757009,373253007,Drug Class
32824001,32824001,Drug Class
32836007,385420005,Drug
32882004,21847005,Drug
32898006,23295004,Drug Ingredient
32901007,26351002,Drug Class
32954005,767270007,Drug Class
33019006,387031005,Drug Ingredient
33137005,767178007,Drug
33396006,767305000,Environmental
33440000,764147003,Drug Class
33619005,387033008,Drug Ingredient
33642003,23295004,Drug Ingredient
33785000,18220004,Drug Class
33837008,767108006,Drug Class
33922005,87708000,Drug
34027005,767407009,Drug Ingredient
34070005,23295004,Drug Ingredient
34120009,23295004,Drug Ingredient
34143000,112133008,Drug Class
34198005,766936008,Drug Class
34329000,112133008,Drug Class
34330005,767178007,Drug
34425005,373477003,Drug Class
34641002,769166001,Drug Class
34654009,34654009,Drug Class
34915005,771384007,Drug Class
34919004,372800002,Drug Class
34946009,767178007,Drug
34978001,767407009,Drug Ingredient
34983009,764146007,Drug Class
35079003,21847005,Drug
35098001,35098001,Drug Class
35133006,112133008,Drug Class
35150008,304275008,Drug Class
35236008,372806008,Drug Class
35281007,767621000,Drug Class
35318005,373254001,Drug Class
35343004,764147003,Drug Class
35406002,304275008,Drug Class
35473009,23295004,Drug Ingredient
35584000,767403008,Chemical
35733004,87708000,Drug
35748005,53527002,Food
35815003,767407009,Drug Ingredient
35864006,372806008,Drug Class
35871001,86922003,Drug Class
35966009,86922003,Drug Class
36021008,764147003,Drug Class
36022001,23295004,Drug Ingredient
36058008,21847005,Drug
36167005,23295004,Drug Ingredient
36173006,18220004,Drug Class
36235004,21847005,Drug
36240007,767407009,Drug Ingredient
36378007,767300005,Drug Class
36516003,373248002,Drug Class
36806001,21847005,Drug
36887008,304275008,Drug Class
36953002,23295004,Drug Ingredient
37000002,767407009,Drug Ingredient
37004006,112133008,Drug Class
37006008,860766002,Drug Class
37013008,372679000,Drug Class
37086005,21847005,Drug
37202001,418497006,Drug Class
37237003,87708000,Drug
37365003,23295004,Drug Ingredient
37411004,387033008,Drug Ingredient
37433002,418497006,Drug Class
37451001,404642006,Drug Class
37527009,373288007,Drug Class
37588001,112133008,Drug Class
37683001,86922003,Drug Class
37691005,764146007,Drug Class
37751002,373254001,Drug Class
37951005,23295004,Drug Ingredient
37978007,360201004,Drug Class
37994000,23295004,Drug Ingredient
38218009,38218009,Drug Ingredient
38319003,767407009,Drug Ingredient
38344006,426722004,Drug Class
38415005,767464004,Drug Class
38446009,304275008,Drug Class
38622005,767108006,Drug Class
38623000,767513003,Drug Class
38684009,304275008,Drug Class
38733000,767164006,Drug Class
39044007,767108006,Drug Class
39081006,767270007,Drug Class
39102003,255620007,Food
39123009,764147003,Drug Class
39294003,767270007,Drug Class
39339009,21847005,Drug
39360003,39360003,Drug Class
39635007,767362004,Drug Class
39669008,767164006,Drug Class
39736000,767403008,Chemical
39806002,21847005,Drug
39815009,372664007,Drug Class
39972003,767403008,Chemical
40036000,40036000,Drug Ingredient
40115000,767108006,Drug Class
40342009,372798009,Drug Class
40471006,31539008,Drug Ingredient
40545005,372643008,Drug Ingredient
40601003,372664007,Drug Class
40699008,385420005,Drug
40710000,426722004,Drug Class
40763008,21847005,Drug
40813005,21847005,Drug
40924008,87708000,Drug
41067005,35098001,Drug Class
41153003,372700007,Drug Class
41261002,767407009,Drug Ingredient
41332001,428787002,Drug Class
41433005,767108006,Drug Class
41459008,767406000,Food
41492002,32824001,Drug Class
41503000,767513003,Drug Class
41509001,373307003,Drug Ingredient
41558002,112133008,Drug Class
41722006,764147003,Drug Class
41793006,767178007,Drug
41945007,767621000,Drug Class
41967008,41967008,Drug Ingredient
42133000,767407009,Drug Ingredient
42145009,23295004,Drug Ingredient
42180008,30178006,Drug
42230009,767108006,Drug Class
42520004,32824001,Drug Class
42605004,304275008,Drug Class
42671007,32824001,Drug Class
42692007,387050005,Drug Class
42799008,112133008,Drug Class
42951000,79522001,Drug Class
43024007,767270007,Drug Class
43032004,21847005,Drug
43048003,763805006,Drug Class
43136004,43136004,Drug Ingredient
43289005,103069003,Drug
43419004,21847005,Drug
43514007,767407009,Drug Ingredient
43564000,767270007,Drug Class
43585000,767407009,Drug Ingredient
43588003,112133008,Drug Class
43592005,372599003,Drug Class
43708003,255620007,Food
43835003,373531009,Drug Class
43909000,103069003,Drug
43921001,767305000,Environmental
43965009,767407009,Drug Ingredient
43974006,767407009,Drug Ingredient
44007007,44007007,Drug
44027008,255620007,Food
44068004,44068004,Drug Ingredient
44159003,385420005,Drug
44262008,418497006,Drug Class
44404008,767407009,Drug Ingredient
44413005,767407009,Drug Ingredient
44469001,23295004,Drug Ingredient
44624002,23295004,Drug Ingredient
44837002,373288007,Drug Class
45159007,372806008,Drug Class
45199005,21847005,Drug
45219003,767403008,Chemical
45454008,86922003,Drug Class
45542006,767407009,Drug Ingredient
45960001,300961004,Drug Class
46046006,112133008,Drug Class
46058006,26351002,Drug Class
46120009,304275008,Drug Class
46134009,26351002,Drug Class
46137002,21847005,Drug
46146008,764147003,Drug Class
46201000,372679000,Drug Class
46250006,32824001,Drug Class
46293006,32824001,Drug Class
46329000,255620007,Food
46335000,46335000,Drug Class
46520002,112133008,Drug Class
46558003,46558003,Drug Ingredient
46654009,304275008,Drug Class
46668002,372679000,Drug Class
46887006,771384007,Drug Class
46943001,304275008,Drug Class
46950002,373253007,Drug Class
47121003,767164006,Drug Class
47172007,767407009,Drug Ingredient
47176005,767621000,Drug Class
47192000,426722004,Drug Class
47218005,23295004,Drug Ingredient
47247003,23295004,Drug Ingredient
47336007,23295004,Drug Ingredient
47350002,304275008,Drug Class
47355007,372664007,Drug Class
47380007,767164006,Drug Class
47646004,86922003,Drug Class
47677002,47677002,Drug Ingredient
47714006,23295004,Drug Ingredient
47826006,767407009,Drug Ingredient
47937008,372591000,Drug
47994003,112133008,Drug Class
48052001,372733002,Drug Class
48070003,404642006,Drug Class
48078005,300961004,Drug Class
48111008,112133008,Drug Class
48132000,23295004,Drug Ingredient
48172009,764147003,Drug Class
48384000,373253007,Drug Class
48474002,373227004,Drug Class
48486004,112133008,Drug Class
48517003,387033008,Drug Ingredient
48562004,767407009,Drug Ingredient
48583005,112133008,Drug Class
48593003,21847005,Drug
48686009,767108006,Drug Class
48753004,764147003,Drug Class
48940005,767621000,Drug Class
49143001,767164006,Drug Class
49145008,771384007,Drug Class
49173005,21847005,Drug
49254003,767164006,Drug Class
49371000,372679000,Drug Class
49399009,255637000,Drug Class
49427003,18220004,Drug Class
49519009,112133008,Drug Class
49551005,21847005,Drug
49602000,373227004,Drug Class
49643000,21847005,Drug
49695008,767407009,Drug Ingredient
49821006,112133008,Drug Class
50107005,112133008,Drug Class
50359009,767178007,Drug
50479000,256355007,Drug Ingredient
50593009,10827009,Drug Ingredient
50627005,373254001,Drug Class
50685004,372622007,Drug Class
50706005,23295004,Drug Ingredient
50754002,767621000,Drug Class
50848005,372788003,Drug Class
50863008,50863008,Drug Ingredient
51076005,23295004,Drug Ingredient
51137007,767403008,Chemical
51224002,418497006,Drug Class
51245009,385420005,Drug
51260007,300961004,Drug Class
51321007,372622007,Drug Class
51379007,23295004,Drug Ingredient
51503008,21847005,Drug
51569009,372788003,Drug Class
51612003,304275008,Drug Class
51739000,766936008,Drug Class
51775003,1052201004,Drug Class
51803002,23295004,Drug Ingredient
51844001,300961004,Drug Class
51859007,767407009,Drug Ingredient
51905005,51905005,Drug Ingredient
51922007,767270007,Drug Class
51963001,767406000,Food
52130006,87708000,Drug
52209008,767178007,Drug
52275001,372679000,Drug Class
52283007,52283007,Drug
52370008,418497006,Drug Class
52422003,304275008,Drug Class
52720007,767164006,Drug Class
52786003,112133008,Drug Class
52803004,767621000,Drug Class
52806007,21847005,Drug
52836003,111095003,Drug Class
52850008,767621000,Drug Class
52885008,404642006,Drug Class
53022002,21847005,Drug
53052005,372816000,Drug Class
53090004,372788003,Drug Class
53175000,21847005,Drug
53289003,21847005,Drug
53405009,372806008,Drug Class
53410008,53527002,Food
53499005,103069003,Drug
53527002,53527002,Food
53560004,767513003,Drug Class
53563002,767164006,Drug Class
53577004,372788003,Drug Class
53794004,112133008,Drug Class
53806002,767164006,Drug Class
53856007,387033008,Drug Ingredient
53875002,255620007,Food
54041009,21847005,Drug
54062005,764147003,Drug Class
54103000,112133008,Drug Class
54107004,21847005,Drug
54108009,767403008,Chemical
54141007,54141007,Drug Ingredient
54172006,373227004,Drug Class
54197005,300961004,Drug Class
54202003,21847005,Drug
54228000,23295004,Drug Ingredient
54256005,767108006,Drug Class
54508000,767270007,Drug Class
54588003,21847005,Drug
54661002,767407009,Drug Ingredient
54732005,21847005,Drug
54918003,767407009,Drug Ingredient
55110000,767403008,Chemical
55119004,112133008,Drug Class
55330006,387033008,Drug Ingredient
55358003,767407009,Drug Ingredient
55435000,764146007,Drug Class
55486005,372665008,Drug Class
55507001,767270007,Drug Class
55527000,21847005,Drug
55540005,767270007,Drug Class
55691004,373253007,Drug Class
55706007,23295004,Drug Ingredient
55792003,21847005,Drug
55793008,373288007,Drug Class
55902002,55902002,Drug Ingredient
56085009,372679000,Drug Class
56146000,304275008,Drug Class
56156001,304275008,Drug Class
56297001,418000008,Drug Class
56328000,23295004,Drug Ingredient
56352007,23295004,Drug Ingredient
56383006,87708000,Drug
56436005,372788003,Drug Class
56715009,373280000,Drug Class
56723006,764146007,Drug Class
56740002,18220004,Drug Class
56958004,385420005,Drug
57064001,23295004,Drug Ingredient
57126000,57126000,Environmental
57164003,373477003,Drug Class
57198007,21847005,Drug
57244003,304275008,Drug Class
57273000,767513003,Drug Class
57279001,767305000,Environmental
57583000,372622007,Drug Class
57818005,86922003,Drug Class
57830004,112133008,Drug Class
57899001,767513003,Drug Class
57911003,767621000,Drug Class
57913000,108659006,Drug Class
58173009,26351002,Drug Class
58186000,35098001,Drug Class
58233009,372665008,Drug Class
58281002,58281002,Drug Class
58292001,767407009,Drug Ingredient
58343005,764147003,Drug Class
58345003,259296007,Drug
58461000,372622007,Drug Class
58541008,767403008,Chemical
58620008,32824001,Drug Class
58624004,23295004,Drug Ingredient
58721000,767270007,Drug Class
58732000,53527002,Food
58783000,387031005,Drug Ingredient
58793007,21847005,Drug
58796004,767164006,Drug Class
58804001,23295004,Drug Ingredient
58876003,767362004,Drug Class
58891001,387031005,Drug Ingredient
58910000,23295004,Drug Ingredient
58971007,767407009,Drug Ingredient
59001002,767362004,Drug Class
59071003,373288007,Drug Class
59163000,23295004,Drug Ingredient
59170000,18220004,Drug Class
59224000,767407009,Drug Ingredient
59338009,372806008,Drug Class
59365002,21847005,Drug
59549002,23295004,Drug Ingredient
59776000,767178007,Drug
59937009,764147003,Drug Class
60244003,87708000,Drug
60266005,372633005,Drug Class
60373003,387033008,Drug Ingredient
60381002,767305000,Environmental
60403001,387031005,Drug Ingredient
60455000,372622007,Drug Class
60459006,767270007,Drug Class
60471000,767403008,Chemical
60526005,255637000,Drug Class
60727003,35098001,Drug Class
60760000,18220004,Drug Class
60764009,87708000,Drug
60808000,23295004,Drug Ingredient
60885000,372788003,Drug Class
60886004,404642006,Drug Class
60905001,255637000,Drug Class
60924003,23295004,Drug Ingredient
60988002,372665008,Drug Class
61068006,767407009,Drug Ingredient
61116002,112133008,Drug Class
61224000,416394007,Drug Ingredient
61359002,767407009,Drug Ingredient
61429008,767164006,Drug Class
61540003,21847005,Drug
61742009,372679000,Drug Class
61773008,373477003,Drug Class
61813008,23295004,Drug Ingredient
61863003,385420005,Drug
61899008,18220004,Drug Class
61925007,32824001,Drug Class
62036000,62036000,Drug Ingredient
62145002,23295004,Drug Ingredient
62352008,304275008,Drug Class
62368002,372700007,Drug Class
62384001,23295004,Drug Ingredient
62442005,426722004,Drug Class
62492006,372800002,Drug Class
62666006,35098001,Drug Class
62959008,112133008,Drug Class
63045006,255620007,Food
63167009,373307003,Drug Ingredient
63188000,764146007,Drug Class
63203003,372816000,Drug Class
63261004,387092000,Drug Ingredient
63306009,112133008,Drug Class
63349005,767513003,Drug Class
63383003,767513003,Drug Class
63461001,21847005,Drug
63545000,372664007,Drug Class
63735004,112133008,Drug Class
63766005,255620007,Food
63779001,123682001,Drug Class
63854008,767407009,Drug Ingredient
63950003,112133008,Drug Class
63984004,23295004,Drug Ingredient
64029000,372691009,Drug Class
64130008,428787002,Drug Class
64179000,64179000,Drug Ingredient
64191009,372656001,Drug Class
64436005,23295004,Drug Ingredient
64447003,32824001,Drug Class
64463006,35098001,Drug Class
64493000,112133008,Drug Class
64669003,372788003,Drug Class
64686009,64686009,Drug
64796009,418497006,Drug Class
64813009,372679000,Drug Class
64821003,767407009,Drug Ingredient
64888007,764146007,Drug Class
64893005,112133008,Drug Class
64974009,767178007,Drug
65054007,767513003,Drug Class
65088001,373254001,Drug Class
65097002,112133008,Drug Class
65123005,65123005,Drug
65125003,112133008,Drug Class
65183007,65183007,Drug Class
65246003,79522001,Drug Class
65458000,372665008,Drug Class
65465008,23295004,Drug Ingredient
65485007,112133008,Drug Class
65509001,23295004,Drug Ingredient
65530005,21847005,Drug
65555004,304275008,Drug Class
65592004,65592004,Drug Ingredient
65674001,767362004,Drug Class
65738000,278910002,Drug Ingredient
65741009,373477003,Drug Class
65826004,21847005,Drug
65868004,767621000,Drug Class
65948009,767108006,Drug Class
65972004,372540003,Drug Class
65982003,372806008,Drug Class
66004009,373227004,Drug Class
66124006,387033008,Drug Ingredient
66148002,21847005,Drug
66290002,860766002,Drug Class
66396005,23295004,Drug Ingredient
66472001,23295004,Drug Ingredient
66509009,414355008,Drug Class
66565000,767164006,Drug Class
66573009,767178007,Drug
66639008,372798009,Drug Class
66653008,372722000,Drug Class
66741001,23295004,Drug Ingredient
66811009,21847005,Drug
66843009,372798009,Drug Class
66875007,112133008,Drug Class
67008004,32824001,Drug Class
67029008,767621000,Drug Class
67054008,767513003,Drug Class
67060008,30178006,Drug
67154005,767305000,Environmental
67296003,226934003,Food
67324005,255620007,Food
67347006,404642006,Drug Class
67377000,87708000,Drug
67473000,767300005,Drug Class
67485008,387031005,Drug Ingredient
67517005,30178006,Drug
67636005,21847005,Drug
67639003,767407009,Drug Ingredient
67771002,416394007,Drug Ingredient
67906003,304275008,Drug Class
67921009,767164006,Drug Class
67928003,387092000,Drug Ingredient
67980007,304275008,Drug Class
67990004,53527002,Food
68077006,87708000,Drug
68329003,767108006,Drug Class
68357005,767403008,Chemical
68379000,68379000,Drug Ingredient
68399006,23295004,Drug Ingredient
68580003,767270007,Drug Class
68669008,372798009,Drug Class
68674000,767407009,Drug Ingredient
68680008,372806008,Drug Class
68699004,372622007,Drug Class
69050006,771384007,Drug Class
69089000,767270007,Drug Class
69136004,26351002,Drug Class
69241001,404642006,Drug Class
69311000,112133008,Drug Class
69522000,263894008,Drug Class
69644000,767178007,Drug
69705000,23295004,Drug Ingredient
69750003,767305000,Environmental
69770009,767270007,Drug Class
69783005,426722004,Drug Class
69899006,404642006,Drug Class
69958001,767403008,Chemical
